Id,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input,Input
133,-0.51128-0.22303i,0.76204+1.058i,0.37249-0.30899i,-0.48658+0.27581i,0.78872-0.66804i,-1.2918-0.17929i,1.5099+0.32777i,-0.15577+0.69817i,-0.33067+0.74321i,0.69555-0.88039i,-1.0406+0.64598i,0.42526+0.47017i,-1.0418-0.75089i,-0.20552+0.38204i,0.44539-0.8908i,0.9248+0.2063i,-0.67272-0.28487i,-0.42194+0.15698i,0.46299-0.86729i,-0.29553+0.027948i,0.13557+0.76734i,-0.43573-0.25286i,0.85775+0.05251i,-0.964-0.089834i,-0.0030466-0.28866i,0.61605+0.088438i,-0.37274+0.56134i,-0.83619-0.45351i,0.52659+0.4276i,0.33612-0.98017i,0.034538+0.39851i,-0.4061+0.23739i,-0.51276+0.27349i,-0.22867-0.021132i,-0.18787-0.76723i,0.82531+0.49108i,-0.34813+0.61831i,-0.46291-0.94122i,-0.33394+0.28592i,0.7363+0.56047i,0.35593-1.155i,-0.14499+0.82145i,-0.19023+0.79859i,-0.26936-0.72232i,-0.75597+0.30488i,0.54404-0.37157i,0.82311+0.35829i,-0.95952-0.2798i,-0.046442-0.064372i,0.99985+0.39215i,0.059515-0.12689i,-0.49863+0.97221i,-0.24352-0.71362i,0.54543-0.46906i,-1.2119+0.68826i,0.42614-0.91843i,0.46823+1.5794i,-0.83545-1.0465i,0.41356-0.051469i,-0.32913+0.81714i,0.92039-1.0822i,-0.41102+1.2533i,0.62671-0.42608i,-0.46841-0.59079i,-0.38824+0.63516i,0.11923-0.64833i,-0.24908+0.21907i,0.49029+1.1105i,-1.0297-0.404i,0.81844-0.65201i,0.71885-0.097306i,-0.8901-0.70592i,0.8984+0.56755i,-0.23935+0.56389i,-0.6242+0.51974i,-0.38119-0.017657i,0.1693-1.6286i,0.73395+1.5705i,-1.0063+0.096918i,0.37098+0.44161i,-0.092983-1.4617i,0.18913+0.5127i,-0.36251-0.21974i,0.40257-0.30176i,0.56956+0.50844i,-0.52204-0.90313i,-0.2214+0.37302i,-0.59305+0.31384i,0.31418-0.86651i,0.043748+0.058773i,0.16709-0.030312i,0.61688-0.19625i,-0.15602+1.1285i,-0.60164-0.21665i,0.11713+0.44858i,0.83085-0.45173i,0.31585-0.062403i,-0.78431-0.81545i,0.16209+0.17618i,-0.097766+0.86747i,0.085761-0.33839i
134,-0.80795-0.24431i,0.88872-0.50693i,-0.2977-0.65323i,1.0195+1.2152i,-0.42496-1.0068i,1.0042+0.47805i,-0.059022+0.1647i,-0.67721-0.25402i,0.3611+0.96708i,-0.33602+0.20821i,0.22629+0.076011i,0.32882-0.39635i,-0.24522+1.0099i,-1.0446-0.73423i,0.70593+1.0624i,-0.85755-1.1267i,0.3549+0.45139i,-0.34981-0.69171i,0.54839-0.56212i,-0.077737+0.5642i,-0.14589-0.1607i,0.79051+0.74595i,0.25487-0.16239i,-0.594-0.37105i,-0.35063-0.64345i,0.71686+0.83001i,-0.11504-0.051214i,0.46184+0.57003i,-0.05852-0.4158i,0.025357+0.54905i,-1.1333-0.11358i,0.27641-1.1359i,0.33233+0.19301i,0.20851+0.82396i,-0.15936-0.52703i,0.038806+0.26168i,0.33688-0.042724i,0.85701-0.26289i,-0.55764+0.070889i,-0.48624-0.42029i,0.36256+0.90064i,0.46035-0.60787i,-0.43238+1.2816i,-0.35389+0.051834i,-0.090228-0.33817i,0.36749+0.64929i,-0.38268+0.27004i,-0.73696-0.80543i,1.1914+0.0078581i,-0.95924+0.15484i,0.70196+0.76007i,-0.49559-1.4687i,0.97055+0.15625i,0.40296+0.15207i,-0.017967+0.10346i,0.088302+0.55796i,0.13592+0.45518i,0.056106-0.61956i,-0.23508+0.61125i,-0.099165+0.60937i,-0.032857-1.4722i,0.35031+1.1469i,-0.56129-1.4014i,-0.52094+0.67888i,0.71292-0.93617i,-0.26452+0.31652i,0.096714+0.50926i,-0.38454+0.085077i,0.23705-1.3821i,0.39237+1.3503i,0.57946-0.030074i,-0.44022-1.0624i,0.74806+0.58171i,-1.3691+0.68026i,0.97073+0.27451i,-0.0099332-0.073672i,-0.50194+0.042067i,0.21159+0.81798i,-0.34215-0.9618i,-0.42052-0.58099i,1.0785+0.23119i,-0.67886+0.82244i,0.14432-0.27406i,0.021226+0.34316i,0.48256+0.154i,-0.46375+0.12838i,0.98303-0.50337i,-0.16976+0.40161i,-1.225-0.2446i,0.50521+0.54776i,1.0039-0.31079i,-0.16362+0.71718i,-1.3445-0.23988i,0.5655+0.44771i,0.31083-0.43572i,-0.37828-0.55083i,0.84411-0.095438i,-0.98263+0.53824i,1.1389-0.25932i,-1.2182+0.48812i,0.41402-0.28185i
135,0.076511+0.68853i,-0.099664+0.15831i,0.57108-0.69513i,-1.2957+0.35115i,0.67413+0.55174i,0.51663-0.64507i,0.15591+0.06866i,-0.40899+0.95556i,-0.054991+0.15304i,0.53045-0.68976i,-0.45008+0.88282i,-0.92974-0.40159i,0.39388-0.90125i,0.32446+1.3003i,-0.89486-0.4301i,0.43014-0.8514i,0.89966+0.43361i,-1.2625+0.27976i,0.45101-0.93176i,0.09493-0.1717i,0.9162+0.39767i,-0.69877-0.5363i,0.063202-0.15828i,0.34986+1.2442i,-0.31817-1.2413i,-0.48715+0.67317i,-0.17009-0.038744i,1.2894-0.29984i,-0.42115+0.91737i,0.5099-0.68497i,-1.2651+0.29759i,0.68716+0.50552i,-0.888-0.42073i,0.44673-0.90896i,0.33873+1.265i,0.54656-0.66418i,0.16025+0.058386i,0.168+0.060671i,-0.46577+0.93172i,-0.30551-1.2769i,0.29377+1.2783i,-0.90634-0.45024i,1.2621-0.33628i,-1.2811+0.30819i,0.69942+0.50692i,-0.9097-0.42627i,1.2812-0.28862i,-0.45361+0.91789i,-0.066451+0.15199i,0.53112-0.70633i,0.17702+0.056793i,-0.67718-0.5117i,0.06969-0.18898i,0.9043+0.45056i,-1.2809+0.29737i,1.2799-0.31632i,-0.4427+0.89177i,-0.29403-1.2972i,0.091672-0.17895i,0.93007+0.4402i,0.13835+0.0794i,-0.46141+0.89832i,-0.09215+0.16617i,-0.068952+0.19122i,-0.35062-1.303i,0.31413+1.3041i,-0.34012-1.2389i,0.9133+0.4364i,0.16951+0.044065i,-0.69239-0.54716i,0.34523+1.2323i,-0.93199-0.4679i,-0.15491-0.096902i,-0.16988-0.13623i,0.68082+0.53283i,-0.90066-0.42459i,0.44059-0.92517i,0.065038-0.19901i,-0.50553+0.70759i,0.66789+0.52054i,-0.90637-0.42719i,1.2556-0.31568i,0.1777+0.074283i,-0.43103+0.89401i,-0.093351+0.16081i,-0.27673-1.2646i,-0.49053+0.68476i,1.309-0.33183i,0.1648+0.092602i,0.14933+0.049032i,-0.42545+0.9072i,-0.33041-1.2815i,0.36027+1.266i,-0.30061-1.2549i,-0.53725+0.69537i,0.44517-0.91511i,0.33323+1.2697i,-0.34532-1.3002i,0.098372-0.15787i,0.31967+1.2822i,-0.19222-0.53084i
136,-0.0066534+0.35771i,-0.77307-0.48639i,-0.35016+0.25579i,1.074-0.32874i,0.75404-0.084907i,-0.38912+0.15122i,-0.53958+0.13397i,0.086557-1.0427i,0.97643+0.92854i,-0.49384+0.26386i,0.91555-0.41137i,-0.43442+0.17548i,-0.83511+0.53659i,0.63925-1.107i,0.23819+0.53575i,-0.45188+0.79894i,0.29208-1.2786i,0.52879+0.19477i,0.29253+0.65155i,-0.26833-0.1378i,0.4645+0.26198i,-0.64609-0.33264i,-0.62617+0.040628i,-0.39044+0.26209i,1.3912-0.051918i,-0.63578-0.35276i,1.1181+0.10476i,-1.0939+0.33151i,0.6896+0.55063i,-0.48847-0.71965i,0.38602+0.22171i,0.34739-0.32328i,-1.0053+0.84555i,1.4047-0.61406i,-0.53613-0.40741i,-1.0649+0.73895i,1.3822-0.66989i,-0.37102+0.7427i,0.34495+0.30171i,-0.23928-1.1374i,-0.67137+1.0245i,0.6207+0.52931i,0.72798-0.93403i,-0.32492+0.83857i,0.3114-0.16481i,-0.39357+0.90766i,0.7587-0.86796i,0.19326+0.1207i,-1.1984-0.329i,0.36015+0.1111i,0.79264+0.43331i,-0.7634-1.0392i,0.69222+1.3585i,-0.47483-0.76302i,0.37501+0.20846i,-0.44908-0.89431i,-0.33707+1.1853i,1.1013-0.22585i,-0.80934+0.60041i,0.53567+0.00085988i,0.51857-0.57936i,-1.0977+0.28836i,0.19275-0.4337i,-0.16212+0.96417i,0.31739-1.2872i,0.35157+1.165i,-0.83423-1.0098i,-0.18709+0.85317i,-0.29211-0.60939i,1.0489+0.64649i,0.28806-0.14755i,-1.3121-0.30985i,0.51158-0.24225i,-0.11207+0.92823i,0.74072-0.38481i,-0.52051+0.23671i,-0.38315-0.17187i,0.83746-0.50397i,-0.69297+0.49133i,0.071425+0.59228i,-0.35912-1.1929i,0.9773-0.013746i,-0.76333+0.43562i,0.80649-0.52955i,-0.74929+0.45919i,0.1951-0.43706i,-0.12734+0.95014i,0.50762-0.015306i,-0.20845-1.1034i,-0.41319+0.65606i,0.15757-0.37627i,0.22844+1.1929i,-0.48022-0.063654i,0.26675+0.33158i,0.061518-0.78196i,-0.035142-0.64591i,0.50133+0.18899i,-0.67106+1.1209i,0.15561-0.22199i,0.063384+0.76326i,-0.24715-0.72727i
137,-0.38322+0.7252i,0.25246-0.44517i,-0.63192-0.6805i,-0.19691+0.82895i,0.23351-1.3834i,0.15286+1.2361i,0.88234-0.57965i,0.23531+0.38203i,-0.43394+0.58602i,-0.40563-0.92794i,0.64026-0.25001i,-0.40747+0.35082i,0.12982-0.53865i,0.17424+1.3127i,0.18973-0.98283i,0.11296-0.013705i,-0.18802-0.314i,-0.14907+1.3658i,-0.61536-0.739i,-0.44147-0.054148i,0.74904+0.83796i,-0.66248-1.0266i,0.8677-0.26137i,0.49819+0.25714i,-1.2743+0.11856i,0.63797-0.69311i,-0.76445+0.66906i,1.5984-0.19958i,-0.035844-0.33261i,-0.94352-0.23977i,0.099854+1.2601i,-0.031057-0.085487i,1.0824-0.45745i,-0.50007+0.76368i,-0.51026-0.74449i,0.26572-0.46099i,0.12619-0.10627i,-1.0574+0.74463i,0.20014-0.35097i,-0.0035836-0.28275i,0.74944+0.6585i,-0.81068-0.71887i,0.77377-0.077268i,-0.75171+0.77647i,0.6018-1.0581i,0.84315+0.14438i,-1.0082-0.53709i,0.81971+1.4208i,-1.0744-0.53363i,0.80027-0.26101i,-0.10853-0.14148i,-0.12754-0.46997i,0.99087+0.47844i,-0.78877+0.74434i,-0.10067+0.085895i,0.24856-0.81425i,-1.0203+0.28972i,0.95711+0.96303i,-0.6935-1.2375i,-0.69249+0.46496i,0.81961+0.37805i,0.31945-0.42229i,-1.0695+0.075495i,1.3619-0.62449i,0.049941+0.16532i,-0.30879+1.0765i,-0.23942+0.35688i,0.50315-0.72583i,-0.18173+0.18184i,-0.98526-0.089897i,0.82298-0.29742i,-0.48835-0.6867i,-0.56141+1.0202i,-0.37172-0.16905i,0.35106-0.17493i,0.4463+0.3485i,-0.53912-0.80676i,-0.32309+0.73119i,1.3515-0.2664i,-1.0623-0.4653i,0.053097-0.69462i,0.91475+0.91538i,-0.92599-0.053889i,0.41792-0.77935i,0.23425-0.28662i,-0.61717+0.11361i,0.10249-0.048209i,-0.1992-0.2559i,0.18741+1.0647i,0.028285-1.6848i,-0.2827+0.58089i,0.88475-0.30179i,-0.66079+1.0907i,-0.53522-0.95307i,1.5748+0.22842i,-0.68076+0.62251i,-0.4952-1.2694i,0.36439+0.83949i,-0.66581+0.15367i,0.70979-0.55256i,-0.19063+0.22422i
138,-0.1029-0.74825i,-0.19788+0.19615i,0.31366-0.22316i,1.0384+0.046529i,-1.2045+0.14053i,0.8286-0.57339i,-0.1107-0.070121i,0.082231-0.13292i,-0.5917+0.47762i,0.28034-0.62418i,0.63545+0.54816i,0.37536-0.0033045i,-0.25265+0.67095i,-0.68549-0.021854i,-0.634-0.058656i,1.8009-0.59423i,0.085759+0.25291i,-0.87076-0.34044i,-0.21216+1.0502i,-0.3746-0.35092i,-0.1325-0.81898i,0.24879+0.56581i,-0.5435+0.21909i,1.0767+0.078151i,0.56084-0.54914i,-1.1393+0.48179i,-0.4778-0.58865i,1.0173+0.61475i,-0.598-0.89333i,-0.36821+0.059196i,1.6825+0.0041696i,-0.1501+0.67031i,-1.5208+0.14107i,0.40568-1.2767i,0.12118+0.096289i,-0.045895+0.3361i,1.0478-0.071453i,0.37498+0.21451i,-0.70046+0.24261i,0.64714-0.072756i,-0.40088+0.87036i,-0.2735-0.77018i,-0.42449-0.6474i,0.37757+0.0049464i,-0.054355-0.75247i,0.28623-0.063549i,-0.16761+0.99905i,0.0050489-0.47927i,0.76148-0.043462i,-0.9136+0.38156i,0.55473+0.97459i,0.22382-0.33463i,-0.50593-1.0415i,0.43623+1.4128i,-0.56383-1.7832i,0.36983+1.2901i,-0.11995+0.5862i,-0.15415-0.95025i,-0.52247+0.68306i,0.91239-1.0935i,-0.69866+0.45246i,-0.078852-0.89942i,0.24182+0.97897i,0.010075+0.37733i,0.83843-0.8517i,-0.96226-0.23762i,-0.24802-0.10366i,0.18139-0.045332i,0.45541-0.30795i,0.49878+0.45151i,-0.54922+0.95335i,0.60973-0.14983i,-0.40348-0.70358i,-0.96944+0.62484i,1.6343-0.32472i,0.020473-0.019668i,-0.88986-0.39384i,0.19548+0.81677i,-0.8853+0.085623i,0.34983-1.2776i,0.70623+1.5689i,-1.2926-0.37636i,1.1574+0.35884i,-0.39641-0.3465i,0.3687+0.29563i,-1.1936-0.43973i,1.0718-0.72084i,0.017141+1.6887i,-0.12944-1.6846i,-1.1434+0.89636i,0.54987-1.2055i,-0.54129+1.0249i,-0.1279-0.21155i,-0.31269-0.19356i,0.52069-0.70837i,0.68382+0.91726i,-1.1511-0.13049i,1.7083-0.40759i,-1.5572+0.23569i,0.32627-1.1288i,0.29822+0.9135i
139,0.28877-0.23929i,0.25708+0.11742i,-0.60029-0.95607i,1.1371+1.0016i,-0.38123+0.91747i,-0.72688+0.0020534i,0.024326+0.25817i,0.21525+0.40161i,0.35361-0.46929i,0.04498-0.11681i,-0.78029+0.54754i,-0.21423-0.23738i,0.67809+0.032392i,-1.0588+0.1201i,0.80795-0.19066i,0.13929-0.40135i,-0.88735+0.62296i,1.1746+0.096094i,-1.3499+0.24766i,0.82596+0.16821i,-0.24308-1.135i,0.077321-0.432i,0.85832+1.1154i,0.016839-0.44412i,-0.28568-0.55782i,-0.043321+1.3538i,0.093695-0.2556i,-0.93539-0.56233i,0.86291-0.29748i,-0.1082-0.50455i,0.57355+1.4947i,-0.32881-0.87291i,-0.34732+0.4847i,0.017034-0.19924i,-0.16709+0.1497i,-0.37345-0.72641i,0.90578-0.33279i,-1.2979+0.79712i,0.56925+0.23974i,0.94513-0.57508i,-1.1977+0.47947i,-0.17718+0.0093143i,-0.11256+0.3053i,-0.21225+0.059497i,0.23187-0.17069i,0.23723+0.8611i,0.1453-0.10578i,-1.0079-0.73913i,0.92071+0.032124i,-0.22547-0.22769i,-0.82589+0.38296i,1.2712+0.15749i,-1.0233+0.14358i,0.83501-0.12931i,-0.88764+0.22867i,0.72494-0.48129i,0.1502-0.43106i,0.12304+0.46113i,-0.96646+0.40946i,-0.10398+0.27012i,-0.024464+0.14781i,0.79179-1.1948i,-0.35369+0.39908i,-0.3938-0.6287i,0.46328+1.4891i,-0.34535-1.0606i,1.3137+0.009727i,-1.0506+1.1167i,0.23209-0.43854i,-0.93528-0.5733i,-0.35884+0.19623i,1.8682-0.32224i,-0.91104-0.17624i,0.46388+0.46865i,-0.55504+0.46796i,0.059996-0.89935i,-0.38391+0.97395i,0.10248-1.1629i,-0.63492+0.45085i,1.8692-0.3092i,-0.28898-0.28516i,-0.17786+0.17461i,1.0429+0.12394i,-1.2197+0.18156i,0.32334-0.90646i,-0.80972+1.1006i,1.1601+0.32064i,-0.20103-0.23962i,0.030668-0.72216i,-0.1146+0.57198i,0.52468-0.70409i,0.011399-0.18159i,-0.010376+1.4144i,-0.19321+0.33033i,-0.20644-0.13204i,0.14552+0.56623i,-0.89954-0.568i,0.52317-0.62895i,-0.60851+0.027132i,1.0717+0.17561i,-0.54438+0.046619i
140,0.68152-0.10283i,-1.2802+0.29341i,-0.14199-0.091495i,-0.19613-0.068324i,1.2933-0.33482i,-0.69353-0.54588i,0.030771-0.16943i,0.33171+1.2997i,-0.87634-0.43391i,0.45671-0.90124i,0.35463+1.2591i,-0.30275-1.2972i,-0.48613+0.6791i,-0.11389-0.068878i,-0.16088-0.069717i,0.41645-0.87995i,-0.52719+0.6606i,1.268-0.36075i,-1.2922+0.29772i,0.40131-0.8846i,0.046447-0.17841i,0.0059821-0.16126i,0.31123+1.2895i,-0.048943+0.12515i,0.53127-0.67123i,-1.2252+0.31381i,1.2415-0.32555i,-0.42261+0.9146i,-0.051159+0.148i,-0.31695-1.3358i,0.34282+1.2707i,-0.074215+0.17215i,-0.061848+0.1932i,-0.046719+0.17505i,-0.26922-1.2748i,0.3384+1.2788i,-0.052194+0.19306i,-0.2805-1.3148i,0.069856-0.17776i,0.096074-0.21266i,0.30764+1.2762i,-0.094378+0.18142i,-0.081359+0.16013i,-0.96774-0.42845i,0.63998+0.50301i,-0.89695-0.41464i,0.46096-0.90373i,-0.57399+0.68752i,-0.1731-0.11696i,1.282-0.33578i,-0.65924-0.52175i,0.070266-0.1536i,0.081816-0.14371i,0.34695+1.281i,-0.28959-1.2707i,0.33611+1.3021i,0.52839-0.67037i,-0.65661-0.54337i,0.097393-0.17114i,0.078523-0.1083i,0.089063-0.18449i,0.060656-0.14905i,-0.56478+0.66795i,-0.17303-0.068005i,1.3025-0.27659i,-1.2443+0.29139i,0.67302+0.53349i,-0.9239-0.45342i,0.45473-0.93055i,-0.53768+0.67301i,0.63323+0.51617i,-0.91545-0.43753i,1.2166-0.30564i,0.16041+0.057409i,-0.43517+0.92291i,-0.89871-0.40825i,1.2976-0.29933i,-1.3036+0.28985i,1.2612-0.33832i,-1.2504+0.3195i,0.63897+0.50793i,-0.33176-1.2686i,0.93529+0.46379i,0.13808+0.040081i,-0.42897+0.94852i,-0.90792-0.45421i,1.2826-0.27891i,0.21173+0.082556i,-0.65745-0.49248i,0.31413+1.2835i,0.54721-0.71584i,-1.2864+0.32657i,-0.18708-0.061806i,1.2672-0.35832i,-0.68888-0.52415i,0.083048-0.14552i,0.30981+1.2699i,0.56172-0.65196i,-0.6976-0.52228i,-0.5097+0.68869i,0.57403-0.18802i
141,1.0647-0.18749i,-0.53973+1.2412i,0.086623-0.7691i,-0.63802-0.51121i,1.1376+0.60918i,-1.1843+0.037963i,-0.11464-0.063705i,1.3296-0.1368i,-0.19662+0.68551i,-1.4555-0.046098i,0.20505-0.33264i,0.49275+0.62207i,0.081107-0.80065i,0.020209-0.32774i,0.11832+1.0373i,-0.20022-0.8012i,0.74302+0.18157i,-0.92342-0.73194i,0.93778+1.273i,-0.41051-0.36868i,0.65873-0.086302i,-1.1795+0.77257i,-0.21435-0.30834i,0.72504-0.49068i,0.049333+0.80867i,0.15996+0.2475i,-0.66073-0.049439i,-0.67239-0.30887i,0.21773+0.19421i,-0.25209-0.58746i,1.5359-0.074686i,-0.92977-0.17085i,-0.43183-0.17433i,-0.43128+0.35135i,0.60028-1.196i,0.32613-0.093585i,0.056069+1.4875i,-0.51933-1.2632i,1.4248+0.53162i,-1.0744-0.79822i,0.69518+0.79818i,-0.061509-0.51826i,-0.52034+0.8284i,0.7027+0.34232i,-1.3523-0.20632i,0.52737-0.33851i,0.68016+0.52248i,-0.89123-0.47066i,0.33399+1.0218i,-1.1947-0.61341i,1.6738-0.4223i,-1.4896+0.50211i,0.025049-0.41047i,1.1425+0.48554i,-1.2048-0.37173i,0.90373-0.71656i,-0.04549+0.57532i,0.1248+0.31167i,-0.39358-1.2499i,0.44529+0.81305i,0.99009-0.16974i,-1.5712+0.76188i,-0.36607-0.12815i,1.302-0.65587i,-0.56075+0.34326i,1.2264-0.23942i,-0.86609+0.45705i,-0.2916-0.71821i,0.17273-0.33541i,0.51987+0.40055i,0.37529+0.71052i,0.1434-0.34257i,-0.90248-0.35718i,0.44377+0.76201i,-0.61463-0.63284i,0.52744-0.22105i,-0.090027+0.95684i,-0.49688-1.2632i,0.5982+0.49762i,0.43646-0.54637i,-0.35888+1.4942i,0.056222-0.49096i,0.61186-0.34632i,0.46856+0.010226i,-1.6263+0.38622i,0.37024+0.30237i,0.58318-0.86822i,0.52785+0.52649i,-1.1785+0.061753i,0.622+0.48332i,-0.57782-1.0723i,-0.64475+0.74436i,0.56088-0.034759i,0.79353+0.08968i,-0.73389-0.62146i,0.10203+1.3162i,-0.48066-1.1901i,0.10069-0.30423i,-0.25275+0.21884i,0.22985-0.9834i,0.29071+0.84482i
142,-0.090731-0.3375i,-0.36281-0.34003i,1.003-0.016713i,-1.0538+0.84247i,1.027-0.88431i,-0.73277+0.50197i,0.982+0.16923i,-1.1811+0.36799i,0.45278-0.073494i,0.61006-0.064071i,-0.38383-0.76533i,0.93327+0.43023i,-1.4441+0.019869i,0.23517+0.12117i,-0.4435-0.32955i,0.43992-0.91546i,0.94354+0.94658i,0.4116-0.24024i,-1.3702+0.70603i,0.28625-1.3619i,0.61308+0.71044i,0.49045+0.30359i,-1.192+0.3632i,-0.29455-0.62348i,0.79677-0.61724i,-0.12874+0.28441i,-0.61088+0.0055874i,-0.010985+0.48271i,-0.3124-0.64878i,0.90389+0.028865i,0.44955+0.3271i,-0.65885-0.39387i,0.23952+1.2186i,-1.2112-0.60113i,1.0685-0.30673i,0.71507-0.069087i,-0.50005-0.45875i,-0.70946+1.029i,0.25366-1.4078i,1.1748+0.61084i,-0.16657-0.19498i,-0.65712+1.1305i,1.05-0.7524i,-0.56946-0.43991i,0.13301-0.074791i,-0.15611+0.29568i,-0.84342+0.40386i,1.0378-0.28878i,0.70823-0.069075i,-1.7345+0.39819i,0.92564+0.69922i,-1.2679-0.60207i,0.74257-0.59577i,-0.21628+0.27984i,0.084313-1.0586i,-0.1474+0.18779i,0.62196-0.30164i,0.11977-0.1481i,-0.32031+1.2956i,0.12445-0.26507i,0.091053+0.73055i,-0.12127+0.23305i,-0.86651-0.33877i,0.46958-0.11452i,0.58693-0.056801i,-0.91445-0.026827i,-0.43446-0.33338i,0.74271+1.0231i,-1.2336-0.58644i,1.7-0.43675i,-0.42203+0.21224i,0.17674+0.68143i,-0.64299+0.29436i,0.27943-1.2818i,0.54316+0.14277i,0.15575-0.027107i,-1.1081+0.22782i,0.11762-0.5057i,1.0329+0.0044545i,-0.21762+1.4326i,-0.3069-1.0849i,0.29722-0.41208i,0.36669+1.187i,-0.22119+0.54483i,0.33484-1.1854i,-1.3895+0.63119i,0.90207+0.72864i,0.16589-0.17552i,-0.59747-1.3601i,-0.17731+0.16948i,-0.040271-0.19908i,1.1124+0.5618i,0.38551-0.25557i,-1.3476+0.67145i,-0.18473-0.010454i,0.26945-1.4236i,0.22012+0.39506i,-0.11476+0.93016i,-0.34903-1.1666i,0.62821-0.29786i,-0.10142+0.58024i
143,0.14216+0.72533i,0.54596-0.64669i,-1.2658+0.31493i,0.72749+0.52169i,-0.095382+0.15132i,-0.90793-0.37419i,0.42168-0.92268i,-0.52722+0.68196i,0.40157-0.89333i,0.061016-0.13504i,0.33439+1.3018i,-0.92801-0.42264i,0.43443-0.93156i,0.036832-0.19662i,-0.50659+0.67199i,0.67734+0.52578i,0.55992-0.65422i,-0.66649-0.52613i,0.90311+0.45662i,-1.2646+0.32897i,0.67419+0.50138i,-0.099373+0.19094i,-0.91442-0.44489i,-0.16553-0.086542i,0.70451+0.48071i,0.54653-0.68593i,-0.69163-0.53666i,-0.53455+0.68531i,1.2564-0.30159i,-0.44004+0.92599i,-0.87515-0.42657i,0.41857-0.91119i,-0.52644+0.70171i,0.4539-0.93838i,-0.50899+0.70016i,1.257-0.31577i,0.14435+0.074981i,0.12953+0.057766i,-0.68754-0.51582i,0.91173+0.42613i,-1.2926+0.31914i,1.2884-0.35336i,-1.2511+0.32633i,0.4041-0.90002i,0.08049-0.16676i,0.052501-0.15916i,0.31223+1.2692i,-0.34182-1.2744i,-0.57467+0.64717i,-0.19423-0.11953i,0.71829+0.51697i,0.60444-0.63152i,0.12875+0.029884i,-0.70296-0.50472i,0.94932+0.43181i,-0.68101-0.52906i,0.90397+0.45686i,0.16117+0.052814i,0.17219+0.089562i,-1.2508+0.30099i,0.68984+0.52076i,-0.2812-1.2304i,0.28156+1.3198i,-0.043754+0.14824i,0.47993-0.67809i,-0.68053-0.51315i,0.9304+0.42323i,-1.2987+0.31081i,0.4172-0.91945i,0.074561-0.16418i,0.091259-0.16063i,-0.50864+0.6907i,0.42154-0.90128i,0.11676-0.14786i,0.06258-0.18645i,-0.51565+0.63446i,0.41841-0.89592i,0.31221+1.2802i,-0.90637-0.40322i,1.2855-0.35829i,-1.2925+0.32265i,0.47383-0.93712i,-0.51864+0.6666i,0.68384+0.56554i,-0.079695+0.13658i,-0.33064-1.2929i,0.30697+1.3077i,-0.1114+0.17915i,0.55397-0.67423i,-0.67574-0.4985i,0.29926+1.3172i,-0.042349+0.16414i,-0.045766+0.17604i,0.55248-0.68423i,0.13536+0.070504i,-1.2927+0.31909i,0.69953+0.54628i,0.49118-0.69457i,-1.2777+0.28394i,0.68102+0.52178i,-0.20205-0.55336i
